"Year,""District"",""Code"",""Location"",""Robbery"",""Street_robbery"",""Injury"",""Agg_assault"",""Threat"",""Theft"",""Car"",""From_car"",""Bike"",""Burglary"",""Fire"",""Arson"",""Damage"",""Graffiti"",""Drugs"",""Local"""
"2012,""Charlottenburg-Wilmersdorf"",40304,""Schloß Charlottenburg"",41,12,243,55,90,1140,31,133,288,88,9,3,231,23,44,616"
"2012,""Charlottenburg-Wilmersdorf"",40305,""Mierendorffplatz"",32,12,165,46,61,893,31,211,148,38,12,5,150,18,111,413"
"2012,""Charlottenburg-Wilmersdorf"",40306,""Otto-Suhr-Allee"",53,15,421,113,128,2273,37,292,429,113,15,6,436,95,112,952"
"2012,""Charlottenburg-Wilmersdorf"",40307,""Neue Kantstraße"",43,23,164,39,86,1283,65,254,298,105,8,2,169,20,80,560"
"2012,""Charlottenburg-Wilmersdorf"",40308,""Kantstraße"",65,23,251,65,112,2565,24,188,248,116,9,3,234,22,118,691"
"2012,""Charlottenburg-Wilmersdorf"",40309,""Kurfürstendamm"",135,59,1083,361,159,4140,54,302,197,94,7,1,405,95,178,1685"
"2012,""Charlottenburg-Wilmersdorf"",40310,""Halensee"",19,8,137,29,62,949,42,188,156,77,8,3,149,23,26,393"
"2012,""Charlottenburg-Wilmersdorf"",40411,""Grunewald"",10,5,98,11,58,867,32,268,84,194,4,0,128,14,5,391"
"2012,""Charlottenburg-Wilmersdorf"",40412,""Schmargendorf"",5,1,82,18,41,731,31,224,77,86,3,1,104,12,10,255"
"2012,""Charlottenburg-Wilmersdorf"",40413,""Wiesbadener Straße"",12,4,64,12,34,642,30,125,129,54,1,1,143,21,9,224"
"2012,""Charlottenburg-Wilmersdorf"",40514,""Düsseldorfer Straße"",41,18,241,67,117,1779,68,362,301,158,14,6,376,113,54,741"
"2012,""Charlottenburg-Wilmersdorf"",40515,""Barstraße"",19,10,110,33,43,774,23,160,142,44,6,3,151,29,14,302"
"2012,""Charlottenburg-Wilmersdorf"",40516,""Volkspark Wilmersdorf"",64,23,252,67,110,1656,67,241,378,114,10,4,303,66,63,712"
"2012,""Charlottenburg-Wilmersdorf"",40617,""Forst Grunewald"",1,0,10,3,4,94,1,56,5,0,2,1,11,1,0,21"
"2012,""Charlottenburg-Wilmersdorf"",49900,""Bezirk (Ch-Wi), nicht zuzuordnen"",1,0,205,62,40,716,7,25,5,1,2,0,282,218,12,286"
"2012,""Spandau"",50101,""Hakenfelde"",17,3,225,49,86,930,20,192,80,54,6,3,239,15,28,651"
"2012,""Spandau"",50102,""Falkenhagener Feld"",40,14,432,113,181,1157,31,167,115,73,28,11,430,46,54,1166"
"2012,""Spandau"",50103,""Spandau Mitte"",108,52,692,192,258,2371,30,201,279,68,26,7,593,103,206,1607"
"2012,""Spandau"",50204,""Brunsbütteler Damm"",14,5,172,41,61,772,27,109,64,47,22,3,221,21,11,395"
"2012,""Spandau"",50205,""Heerstraße Nord"",41,20,399,95,157,1108,36,130,67,91,33,15,427,34,29,1013"
"2012,""Spandau"",50206,""Wilhelmstadt"",68,25,472,116,177,2158,18,214,235,100,25,10,568,85,89,1191"
"2012,""Spandau"",50307,""Haselhorst"",36,16,165,35,70,1143,36,208,90,52,10,1,261,21,39,575"
"2012,""Spandau"",50308,""Siemensstadt"",29,7,168,36,63,739,30,111,84,39,8,4,167,30,25,405"
"2012,""Spandau"",50409,""Gatow/Kladow"",5,1,76,15,25,435,24,129,34,65,13,5,131,20,0,158"
"2012,""Spandau"",59900,""Bezirk (Sp), nicht zuzuordnen"",1,0,47,8,12,271,1,9,10,0,4,2,220,167,0,64"
"2012,""Steglitz-Zehlendorf"",60101,""Schloßstr."",61,28,217,50,51,2375,29,227,184,79,11,1,255,57,50,529"
"2012,""Steglitz-Zehlendorf"",60102,""Albrechtstr."",57,20,258,29,161,1581,88,347,202,136,14,8,439,111,44,832"
"2012,""Steglitz-Zehlendorf"",60203,""Lankwitz"",36,15,268,51,161,1084,45,200,104,89,11,3,383,75,55,748"
"2012,""Steglitz-Zehlendorf"",60204,""Ostpreußendamm"",17,7,213,59,68,1165,53,244,194,96,13,5,310,37,29,482"
"2012,""Steglitz-Zehlendorf"",60305,""Teltower Damm"",23,7,151,38,86,1254,36,243,301,103,10,2,339,70,50,445"
"2012,""Steglitz-Zehlendorf"",60306,""Drakestr."",18,4,206,33,106,1749,90,312,220,136,15,8,346,61,21,637"
"2012,""Steglitz-Zehlendorf"",60407,""Zehlendorf Südwest"",27,7,141,21,83,1006,59,269,95,113,21,6,248,26,17,380"
"2012,""Steglitz-Zehlendorf"",60408,""Zehlendorf Nord"",44,22,259,51,120,1952,62,519,250,208,20,6,538,164,29,701"
"2012,""Steglitz-Zehlendorf"",69900,""Bezirk (St-Zd), nicht zuzuordnen"",1,0,39,16,13,244,4,15,18,1,0,0,224,171,3,64"
"2012,""Tempelhof-Schöneberg"",70101,""Schöneberg-Nord"",197,98,772,215,239,4048,53,425,481,292,31,11,729,157,214,1921"
"2012,""Tempelhof-Schöneberg"",70202,""Schöneberg-Süd"",80,35,510,119,162,2699,62,312,557,219,26,11,545,145,239,1297"
"2012,""Tempelhof-Schöneberg"",70303,""Friedenau"",44,15,306,66,165,2170,66,329,397,122,22,8,426,107,70,851"
"2012,""Tempelhof-Schöneberg"",70404,""Tempelhof"",100,36,581,129,351,3645,122,753,352,159,50,20,813,129,291,1680"
"2012,""Tempelhof-Schöneberg"",70505,""Mariendorf"",57,20,367,79,150,1871,74,508,127,131,29,8,501,75,84,1006"
"2012,""Tempelhof-Schöneberg"",70606,""Marienfelde"",25,11,252,41,98,1357,62,220,129,52,18,5,276,34,54,619"
"2012,""Tempelhof-Schöneberg"",70707,""Lichtenrade"",38,24,322,60,114,1267,63,421,118,148,32,6,472,70,87,745"
"2012,""Tempelhof-Schöneberg"",79900,""Bezirk (Th-Sb), nicht zuzuordnen"",5,2,106,26,22,357,2,5,8,0,0,0,145,105,27,144"
"2012,""Neukölln"",80101,""Schillerpromenade"",169,84,676,213,252,2400,27,221,177,150,31,18,529,85,913,1965"
"2012,""Neukölln"",80102,""Neuköllner Mitte/Zentrum"",138,55,944,290,288,4181,41,314,175,201,67,24,821,157,154,2164"
"2012,""Neukölln"",80103,""Reuterstraße"",108,54,589,181,163,2679,48,264,310,245,24,11,509,97,226,1573"
"2012,""Neukölln"",80104,""Rixdorf"",113,55,605,198,221,2088,38,316,261,201,32,16,550,80,103,1542"
"2012,""Neukölln"",80105,""Köllnische Heide"",26,14,251,71,121,1190,49,303,44,60,15,4,315,61,39,631"
"2012,""Neukölln"",80206,""Britz"",79,49,420,105,168,2132,71,566,169,175,27,12,501,63,65,1079"
"2012,""Neukölln"",80207,""Buckow"",26,7,206,58,107,634,24,225,45,62,11,3,281,63,14,499"
"2012,""Neukölln"",80308,""Gropiusstadt"",52,30,350,72,131,1942,25,195,140,67,13,1,525,79,32,1070"
"2012,""Neukölln"",80409,""Buckow Nord"",14,3,65,11,34,409,11,73,12,46,6,1,64,3,6,176"
"2012,""Neukölln"",80410,""Rudow"",40,25,206,50,90,1256,58,374,117,181,15,4,405,65,23,543"
"2012,""Neukölln"",89900,""Bezirk (Nk), nicht zuzuordnen"",2,3,56,23,19,210,2,21,3,0,1,1,58,36,3,100"
"2012,""Treptow-Köpenick"",90101,""Alt-Treptow"",45,24,136,37,35,1028,15,95,198,53,3,2,193,69,43,376"
"2012,""Treptow-Köpenick"",90102,""Plänterwald"",10,6,63,18,21,500,20,106,66,34,6,2,171,37,4,243"
"2012,""Treptow-Köpenick"",90103,""Baumschulenweg"",20,10,113,27,60,619,25,141,81,74,10,4,248,82,37,346"
"2012,""Treptow-Köpenick"",90104,""Johannisthal"",16,7,95,27,52,537,22,93,42,48,8,2,206,59,11,245"
"2012,""Treptow-Köpenick"",90205,""Oberschöneweide"",16,5,309,58,78,838,42,147,69,51,20,12,343,58,31,636"
"2012,""Treptow-Köpenick"",90206,""Niederschöneweide"",29,13,150,31,48,871,12,76,100,19,11,5,200,65,40,320"
"2012,""Treptow-Köpenick"",90207,""Adlershof"",29,10,133,29,48,961,24,123,164,34,8,6,222,53,20,345"
"2012,""Treptow-Köpenick"",90208,""Köllnische Vorstadt/Spindlersfeld"",9,2,122,29,30,389,11,44,74,14,15,2,191,56,17,265"
"2012,""Treptow-Köpenick"",90309,""Altglienicke"",11,6,149,22,73,539,34,108,93,71,9,2,175,36,14,311"
"2012,""Treptow-Köpenick"",90310,""Bohnsdorf"",2,0,61,11,29,340,18,58,37,27,8,1,93,24,13,134"
"2012,""Treptow-Köpenick"",90311,""Grünau"",3,0,31,11,11,242,4,65,63,21,2,1,77,32,3,84"
"2012,""Treptow-Köpenick"",90312,""Schmöckwitz/Karolinenhof/Rauchfangswerder"",0,0,13,3,3,146,2,53,4,14,3,3,31,9,0,24"
"2012,""Treptow-Köpenick"",90413,""Köpenick-Süd"",2,0,65,9,20,401,18,112,68,12,8,3,135,10,7,174"
"2012,""Treptow-Köpenick"",90414,""Allende-Viertel"",2,0,37,6,26,194,12,31,36,3,1,0,66,15,2,100"
"2012,""Treptow-Köpenick"",90415,""Altstadt-Kietz"",4,0,75,15,21,224,5,27,57,5,5,3,123,37,10,173"
"2012,""Treptow-Köpenick"",90416,""Müggelheim"",1,1,10,0,13,113,7,41,21,8,1,1,46,2,1,43"
"2012,""Treptow-Köpenick"",90517,""Friedrichshagen"",9,2,64,11,28,516,16,89,172,28,5,1,144,29,6,173"
"2012,""Treptow-Köpenick"",90518,""Rahnsdorf/Hessenwinkel"",2,1,26,7,8,290,15,51,105,44,2,0,41,3,2,56"
"2012,""Treptow-Köpenick"",90519,""Dammvorstadt"",7,4,122,30,21,568,9,43,93,12,13,7,148,33,35,244"
"2012,""Treptow-Köpenick"",90520,""Köpenick-Nord"",5,2,45,9,20,245,4,42,43,33,3,0,88,14,6,118"
"2012,""Treptow-Köpenick"",99900,""Bezirk (Tp-Kp), nicht zuzuordnen"",3,1,104,36,23,320,2,26,14,0,3,3,376,293,7,161"
"2012,""Marzahn-Hellersdorf"",100101,""Marzahn-Nord"",35,14,442,89,104,751,34,123,97,31,33,10,353,55,49,811"
"2012,""Marzahn-Hellersdorf"",100102,""Marzahn-Mitte"",70,30,721,131,204,2109,104,416,145,50,49,20,624,59,77,1460"
"2012,""Marzahn-Hellersdorf"",100103,""Marzahn-Süd"",55,20,295,61,91,1534,135,372,119,41,37,19,411,81,19,648"
